#,surname,firstname,othername,dob,pnumber,nin,deptid,programid,current_level,gender,phone,email,stateid,lgaid,session_admitted
1,SAUDE ,KABIR ,JEGA,14/04/2002,14859739,8550660710,0bad7c59-4a98-4556-8108-7bbae9d99c99,0bad7c59-4a98-4556-8108-7bbae9d99c99,100,Male,8550660710,8550660710@chstjega.edu.ng,21,Jega,2025/2026
2,MATI ,BALA,GAFAI,14/04/2003,13341101,3106713953,0bad7c59-4a98-4556-8108-7bbae9d99c99,0bad7c59-4a98-4556-8108-7bbae9d99c99,100,Female,3106713953,3106713953@chstjega.edu.ng,21,Jega,2025/2026
3,TANKO ,YAHA,ISHAKA,14/04/2004,90591171,2322792941,0bad7c59-4a98-4556-8108-7bbae9d99c99,0bad7c59-4a98-4556-8108-7bbae9d99c99,100,Male,2322792941,2322792941@chstjega.edu.ng,21,Jega,2025/2026
4,MURTALA,GARBA ,YAHUZA,14/04/2005,68508763,3732921251,0bad7c59-4a98-4556-8108-7bbae9d99c99,0bad7c59-4a98-4556-8108-7bbae9d99c99,100,Female,3732921251,3732921251@chstjega.edu.ng,21,Jega,2025/2026
5,ILHAM ,SHEHU,,14/04/2006,92343798,3014374903,0bad7c59-4a98-4556-8108-7bbae9d99c99,0bad7c59-4a98-4556-8108-7bbae9d99c99,100,Male,3014374903,3014374903@chstjega.edu.ng,21,Jega,2025/2026
6,KWAZO,HASSAN,NASIHA,14/04/2007,32653192,4905981487,0bad7c59-4a98-4556-8108-7bbae9d99c99,0bad7c59-4a98-4556-8108-7bbae9d99c99,100,Female,4905981487,4905981487@chstjega.edu.ng,21,Jega,2025/2026
7,MINJAGARA,LAUJE,,14/04/2008,51670737,3086267469,038d78af-b457-4bc9-8db3-1605445817eb,038d78af-b457-4bc9-8db3-1605445817eb,100,Male,3086267469,3086267469@chstjega.edu.ng,21,Jega,2025/2026
8,FARTANYA,HAUYA,KWASA,14/04/2009,33926438,7941266226,038d78af-b457-4bc9-8db3-1605445817eb,038d78af-b457-4bc9-8db3-1605445817eb,100,Female,7941266226,7941266226@chstjega.edu.ng,21,Jega,2025/2026
9,LIMAN ,KOSAI ,KADIRI,14/04/2010,86333757,4187150360,038d78af-b457-4bc9-8db3-1605445817eb,038d78af-b457-4bc9-8db3-1605445817eb,100,Male,4187150360,4187150360@chstjega.edu.ng,21,Jega,2025/2026
10,FANKE ,YAISA,KONEWA,14/04/2011,77752074,5991102103,038d78af-b457-4bc9-8db3-1605445817eb,038d78af-b457-4bc9-8db3-1605445817eb,100,Female,5991102103,5991102103@chstjega.edu.ng,21,Jega,2025/2026
11,MAI,GAYAN ,FANKA,14/04/2012,81990868,4999276037,038d78af-b457-4bc9-8db3-1605445817eb,038d78af-b457-4bc9-8db3-1605445817eb,100,Male,4999276037,4999276037@chstjega.edu.ng,21,Jega,2025/2026
12,ZULUMI,NAKOWA,,14/04/2013,53603506,8245578256,dad69417-2a7e-4ec5-85b8-7ffcf94144e3,dad69417-2a7e-4ec5-85b8-7ffcf94144e3,100,Female,8245578256,8245578256@chstjega.edu.ng,21,Jega,2025/2026
13,AZUMI,YAZO,,14/04/2014,97269820,8007978269,dad69417-2a7e-4ec5-85b8-7ffcf94144e3,dad69417-2a7e-4ec5-85b8-7ffcf94144e3,100,Male,8007978269,8007978269@chstjega.edu.ng,21,Jega,2025/2026
14,KARATU,LIMAN ,YAYI,14/04/2015,53140738,7174496725,dad69417-2a7e-4ec5-85b8-7ffcf94144e3,dad69417-2a7e-4ec5-85b8-7ffcf94144e3,100,Female,7174496725,7174496725@chstjega.edu.ng,21,Jega,2025/2026
15,DANGARBA,GARAU,,14/04/2016,71240525,6735163776,649d4d14-b915-4be1-855b-54f1ac0d4d08,649d4d14-b915-4be1-855b-54f1ac0d4d08,100,Male,6735163776,6735163776@chstjega.edu.ng,21,Jega,2025/2026
16,GARO,GARO,YAYI,14/04/2017,43799662,8032789430,649d4d14-b915-4be1-855b-54f1ac0d4d08,649d4d14-b915-4be1-855b-54f1ac0d4d08,100,Female,8032789430,8032789430@chstjega.edu.ng,21,Jega,2025/2026
17,MUSA,DAN,SHEHU,14/04/2018,62666435,9281712887,649d4d14-b915-4be1-855b-54f1ac0d4d08,649d4d14-b915-4be1-855b-54f1ac0d4d08,100,Male,9281712887,9281712887@chstjega.edu.ng,21,Jega,2025/2026
18,SHUSHAINA,SHUSHAMINU,,14/04/2019,51458513,8588197391,8417087b-a0f0-42be-b106-c52f791686d1,8417087b-a0f0-42be-b106-c52f791686d1,100,Female,8588197391,8588197391@chstjega.edu.ng,21,Jega,2025/2026
19,NA DAYA,SAI GOBE,,14/04/2020,35811324,6781091151,8417087b-a0f0-42be-b106-c52f791686d1,8417087b-a0f0-42be-b106-c52f791686d1,100,Male,6781091151,6781091151@chstjega.edu.ng,21,Jega,2025/2026
20,NADIYA,BALARABE,JIMRAU,12/4/2021,1234455,1234655755,8417087b-a0f0-42be-b106-c52f791686d1,8417087b-a0f0-42be-b106-c52f791686d1,100,Male,5781091151,5781091151@chstjega.edu.ng,21,Jega,2025/2026
